video_title,subject,youtube_link,youtube_uri,youtube_channel,youtube_channel_link,youtube_channel_uri
What is open data? 'The Silicon Roundabout',open_data,https://www.youtube.com/watch?v=62pzsUZ4VP4,62pzsUZ4VP4,Cedar Lewisohn,https://www.youtube.com/channel/UCt1Y-aumq6YhughCaQ8iriQ,UCt1Y-aumq6YhughCaQ8iriQ
CKAN Song - CBR Edit for the Canberra Digital Challenge,open_data,https://www.youtube.com/watch?v=MsuXqf9wog0,MsuXqf9wog0,LinkDigitalTV,https://www.youtube.com/channel/UCkSUCI8hwJT7F8ZYflysxIg,UCkSUCI8hwJT7F8ZYflysxIg
Toby + Decap - Welcome To The Blockchain (The Bitcoin Song),blockchain,https://www.youtube.com/watch?v=YbzNJr26H-4,YbzNJr26H-4,Toby Ganger,https://www.youtube.com/channel/UCyiqR7XYUHc0-WtpQduZLjw,UCyiqR7XYUHc0-WtpQduZLjw
Bitcoin Girl Music Video (Official),blockchain,https://www.youtube.com/watch?v=XEthXBHsEac,XEthXBHsEac,Moving Picture Institute,https://www.youtube.com/channel/UC54JKANfgxVtBkuc77bkvng,UC54JKANfgxVtBkuc77bkvng
Lovesong for Satoshi Nakamoto Whitepaper (Taylor Swift: Everything Has Changed Parody),blockchain,https://www.youtube.com/watch?v=eqxNbGvNamY,eqxNbGvNamY,Naomi Brockwell,https://www.youtube.com/channel/UCSuHzQ3GrHSzoBbwrIq3LLA,UCSuHzQ3GrHSzoBbwrIq3LLA
The Data Song - The Bushey academy,general_data,https://www.youtube.com/watch?v=T35AtjM7A2U,T35AtjM7A2U,SquareRoot AllEvil,https://www.youtube.com/channel/UCg3wH-lv0Pm8teqJhBueEJQ,UCg3wH-lv0Pm8teqJhBueEJQ
Oh Metadata!,general_data,https://www.youtube.com/watch?v=H8BmiWcaxyg,H8BmiWcaxyg,Phil Shapiro,https://www.youtube.com/channel/UC9CxOggSDZJ9JihxFZ7B0LQ,UC9CxOggSDZJ9JihxFZ7B0LQ
Data Science Song,data_science,https://www.youtube.com/watch?v=--ggloFogMY,--ggloFogMY,67247,https://www.youtube.com/channel/UCzPjroIAuJgXsGHgKkXYC4A,UCzPjroIAuJgXsGHgKkXYC4A
"Data Paradise (a song about mean, median, mode, and range)",general_data,https://www.youtube.com/watch?v=yK02GcF18Gs,yK02GcF18Gs,Andrew Austin,https://www.youtube.com/channel/UC9n7jWVoU7VTu2If3D2pGWA,UC9n7jWVoU7VTu2If3D2pGWA
Data's Life Forms Song,just_data,https://www.youtube.com/watch?v=dWBmaKk32fE,dWBmaKk32fE,enessis,https://www.youtube.com/channel/UCKOUioD4mwM67Lc1_gZvYzg,UCKOUioD4mwM67Lc1_gZvYzg
The Open Data Song (electric version),open_data,https://www.youtube.com/watch?v=J180r2U2KnY,J180r2U2KnY,Sheryl's Crush,https://www.youtube.com/channel/UClVxd_WIP0szOeE6R_6i9jA,UClVxd_WIP0szOeE6R_6i9jA
The Open Data Song (Satellite Version),open_data,https://www.youtube.com/watch?v=qcLU2i2A2mY,qcLU2i2A2mY,Sheryl's Crush,https://www.youtube.com/channel/UClVxd_WIP0szOeE6R_6i9jA,UClVxd_WIP0szOeE6R_6i9jA
The Open Data Song (Acoustic Version),open_data,https://www.youtube.com/watch?v=BpmKiCkPzLI,BpmKiCkPzLI,Sheryl's Crush,https://www.youtube.com/channel/UClVxd_WIP0szOeE6R_6i9jA,UClVxd_WIP0szOeE6R_6i9jA
The Open Data Song (Acapela Version),open_data,https://www.youtube.com/watch?v=LSJw8vKH14s,LSJw8vKH14s,Sheryl's Crush,https://www.youtube.com/channel/UClVxd_WIP0szOeE6R_6i9jA,UClVxd_WIP0szOeE6R_6i9jA
Open Data Cats,open_data,https://www.youtube.com/watch?v=hR55DAE1wjo,hR55DAE1wjo,Sheryl's Crush,https://www.youtube.com/channel/UClVxd_WIP0szOeE6R_6i9jA,UClVxd_WIP0szOeE6R_6i9jA
The Open Government Tour Song,open_government,https://www.youtube.com/watch?v=TRm0Jxhu89Y,TRm0Jxhu89Y,Richard Pietro,https://www.youtube.com/channel/UCaUDgj0SSqitwpW5wLRX-Sg,UCaUDgj0SSqitwpW5wLRX-Sg
BWA - Straight Outta Silk Road,blockchain,https://www.youtube.com/watch?v=HBblw50skS4,HBblw50skS4,Bitcoin With Attitude,https://www.youtube.com/channel/UCk9m01TaI8a6WttPQnLuR0g,UCk9m01TaI8a6WttPQnLuR0g
BWA - Ether You Got It,blockchain,https://www.youtube.com/watch?v=u_Syp5IC2es,u_Syp5IC2es,Bitcoin With Attitude,https://www.youtube.com/channel/UCk9m01TaI8a6WttPQnLuR0g,UCk9m01TaI8a6WttPQnLuR0g
BWA - Satoshi Said Knock You Out,blockchain,https://www.youtube.com/watch?v=j_T54pEnelU,j_T54pEnelU,Bitcoin With Attitude,https://www.youtube.com/channel/UCk9m01TaI8a6WttPQnLuR0g,UCk9m01TaI8a6WttPQnLuR0g
Bitcoin Song - No Regulators (Warren G - Regulators),blockchain,https://www.youtube.com/watch?v=xWAwK2fHArc,xWAwK2fHArc,Renegade Investor,https://www.youtube.com/channel/UCOFGqVIQdDfRzVsvPcznq9A,UCOFGqVIQdDfRzVsvPcznq9A
Gramatik - Satoshi Nakamoto MUSIC VIDEO (feat. Adrian Lau & ProbCause),blockchain,https://www.youtube.com/watch?v=HAwC0swp96I,HAwC0swp96I,Friends of Satoshi,https://www.youtube.com/channel/UCD_a4hqRUzIvtUv30QXYX5Q,UCD_a4hqRUzIvtUv30QXYX5Q
"Bitcoin Price action, $400-275-400",blockchain,https://www.youtube.com/watch?v=01MRCQ8Q4Cw,01MRCQ8Q4Cw,Apples Flibbr,https://www.youtube.com/channel/UCgAChdNsbVl2SKYEAtmBn8A,UCgAChdNsbVl2SKYEAtmBn8A
ytcracker - Bitcoin Baron [Support Internet Freedom],blockchain,https://www.youtube.com/watch?v=fZfg1Gtcg08,fZfg1Gtcg08,Gravitas Recordings,https://www.youtube.com/channel/UCV4qjDYAevcyULU7lvJ2LSg,UCV4qjDYAevcyULU7lvJ2LSg
"Price Down, Pick Up!",blockchain,https://www.youtube.com/watch?v=lEBP9dpVM70,lEBP9dpVM70,ZhouTonged,https://www.youtube.com/user/ZhouTonged,uTonged
Zhou Tonged - End of Silk Road (Boyz II Men - End Of The Road),blockchain,https://www.youtube.com/watch?v=Di5NSU5yuKE,Di5NSU5yuKE,ZhouTonged,https://www.youtube.com/user/ZhouTonged,uTonged
Zhou Tonged - Holding (Billy Joel - The Longest Time),blockchain,https://www.youtube.com/watch?v=NG1qooBzE2w,NG1qooBzE2w,ZhouTonged,https://www.youtube.com/user/ZhouTonged,uTonged
Zhou Tonged - Bitcoin's Here (Drake - Started From The Bottom),blockchain,https://www.youtube.com/watch?v=pID03RrmKow,pID03RrmKow,ZhouTonged,https://www.youtube.com/user/ZhouTonged,uTonged
Zhou Tonged - Bitcoin's Back (Eminem - Without Me),blockchain,https://www.youtube.com/watch?v=jq57BjBVq7o,jq57BjBVq7o,ZhouTonged,https://www.youtube.com/user/ZhouTonged,uTonged
Zhou Tonged - Mr. Bitcoin (The Chordettes - Mr. Sandman),blockchain,https://www.youtube.com/watch?v=5WiXMcsfvXE,5WiXMcsfvXE,ZhouTonged,https://www.youtube.com/user/ZhouTonged,uTonged